Coefficient of Variation for Change: Percent Total by Variable

+------------+-----------+-----------------+---------+
|  variable  | change_cv | change_cv_count | percent |
| b03002_004 |    low    |      38840      |   91.4  |
| b03002_004 |   medium  |       3096      |   7.3   |
| b03002_004 |    high   |       563       |   1.3   |
| b03002_005 |    low    |      11569      |   94.9  |
| b03002_005 |   medium  |       589       |   4.8   |
| b03002_005 |    high   |        35       |   0.3   |
| b03002_006 |    low    |      30713      |   89.2  |
| b03002_006 |   medium  |       2958      |   8.6   |
| b03002_006 |    high   |       751       |   2.2   |
| b03002_007 |    low    |       2936      |   90.1  |
| b03002_007 |   medium  |       260       |   8.0   |
| b03002_007 |    high   |        62       |   1.9   |
| b03002_008 |    low    |       3554      |   95.1  |
| b03002_008 |   medium  |       164       |   4.4   |
| b03002_008 |    high   |        18       |   0.5   |
| b03002_009 |    low    |      36486      |   95.8  |
| b03002_009 |   medium  |       1496      |   3.9   |
| b03002_009 |    high   |       120       |   0.3   |
| b03002_010 |    low    |       1742      |   98.3  |
| b03002_010 |   medium  |        25       |   1.4   |
| b03002_010 |    high   |        5        |   0.3   |
| b03002_011 |    low    |      35637      |   95.6  |
| b03002_011 |   medium  |       1528      |   4.1   |
| b03002_011 |    high   |       128       |   0.3   |
| b03002_012 |    low    |      52697      |   85.2  |
| b03002_012 |   medium  |       4042      |   6.5   |
| b03002_012 |    high   |       5136      |   8.3   |
| b03002_013 |    low    |      49511      |   89.0  |
| b03002_013 |   medium  |       5185      |   9.3   |
| b03002_013 |    high   |       942       |   1.7   |
| b03002_014 |    low    |       5913      |   94.5  |
| b03002_014 |   medium  |       282       |   4.5   |
| b03002_014 |    high   |        65       |   1.0   |
| b03002_015 |    low    |       3016      |   96.4  |
| b03002_015 |   medium  |        99       |   3.2   |
| b03002_015 |    high   |        15       |   0.5   |
| b03002_016 |    low    |       1100      |   97.2  |
| b03002_016 |   medium  |        24       |   2.1   |
| b03002_016 |    high   |        8        |   0.7   |
| b03002_017 |    low    |       381       |   97.2  |
| b03002_017 |   medium  |        10       |   2.6   |
| b03002_017 |    high   |        1        |   0.3   |
| b03002_018 |    low    |      30298      |   88.0  |
| b03002_018 |   medium  |       3520      |   10.2  |
| b03002_018 |    high   |       624       |   1.8   |
| b03002_019 |    low    |      14982      |   94.5  |
| b03002_019 |   medium  |       756       |   4.8   |
| b03002_019 |    high   |       122       |   0.8   |
| b03002_020 |    low    |       7469      |   97.4  |
| b03002_020 |   medium  |       194       |   2.5   |
| b03002_020 |    high   |        9        |   0.1   |
| b03002_021 |    low    |       8465      |   91.9  |
| b03002_021 |   medium  |       626       |   6.8   |
| b03002_021 |    high   |       117       |   1.3   |
| b05002_001 |    low    |      32621      |   58.4  |
| b05002_001 |   medium  |       8798      |   15.7  |
| b05002_001 |    high   |      14463      |   25.9  |
| b05002_002 |    low    |      35057      |   73.0  |
| b05002_002 |   medium  |       8542      |   17.8  |
| b05002_002 |    high   |       4412      |   9.2   |
| b05002_003 |    low    |      33055      |   86.8  |
| b05002_003 |   medium  |       4329      |   11.4  |
| b05002_003 |    high   |       677       |   1.8   |
| b05002_004 |    low    |      30602      |   89.9  |
| b05002_004 |   medium  |       3012      |   8.8   |
| b05002_004 |    high   |       437       |   1.3   |
| b05002_005 |    low    |      21816      |   96.2  |
| b05002_005 |   medium  |       810       |   3.6   |
| b05002_005 |    high   |        44       |   0.2   |
| b05002_006 |    low    |      24679      |   96.5  |
| b05002_006 |   medium  |       871       |   3.4   |
| b05002_006 |    high   |        29       |   0.1   |
| b05002_007 |    low    |      25276      |   95.5  |
| b05002_007 |   medium  |       1133      |   4.3   |
| b05002_007 |    high   |        71       |   0.3   |
| b05002_008 |    low    |      23013      |   95.8  |
| b05002_008 |   medium  |       935       |   3.9   |
| b05002_008 |    high   |        67       |   0.3   |
| b05002_009 |    low    |      15985      |   95.5  |
| b05002_009 |   medium  |       586       |   3.5   |
| b05002_009 |    high   |       167       |   1.0   |
| b05002_010 |    low    |       5414      |   92.3  |
| b05002_010 |   medium  |       322       |   5.5   |
| b05002_010 |    high   |       131       |   2.2   |
| b05002_011 |    low    |       1224      |   97.9  |
| b05002_011 |   medium  |        22       |   1.8   |
| b05002_011 |    high   |        4        |   0.3   |
| b05002_012 |    low    |      13828      |   97.1  |
| b05002_012 |   medium  |       360       |   2.5   |
| b05002_012 |    high   |        52       |   0.4   |
| b05002_013 |    low    |      24637      |   90.4  |
| b05002_013 |   medium  |       2277      |   8.4   |
| b05002_013 |    high   |       337       |   1.2   |
| b05002_014 |    low    |      22385      |   89.7  |
| b05002_014 |   medium  |       2200      |   8.8   |
| b05002_014 |    high   |       362       |   1.5   |
| b05002_021 |    low    |      20545      |   93.6  |
| b05002_021 |   medium  |       1280      |   5.8   |
| b05002_021 |    high   |       131       |   0.6   |
| b07204_001 |    low    |      34215      |   64.6  |
| b07204_001 |   medium  |      10043      |   19.0  |
| b07204_001 |    high   |       8672      |   16.4  |
| b07204_002 |    low    |      35392      |   80.0  |
| b07204_002 |   medium  |       7010      |   15.8  |
| b07204_002 |    high   |       1854      |   4.2   |
| b07204_003 |    low    |      30336      |   92.4  |
| b07204_003 |   medium  |       2338      |   7.1   |
| b07204_003 |    high   |       157       |   0.5   |
| b07204_004 |    low    |      19358      |   93.7  |
| b07204_004 |   medium  |       1181      |   5.7   |
| b07204_004 |    high   |       126       |   0.6   |
| b07204_005 |    low    |      19326      |   93.8  |
| b07204_005 |   medium  |       1156      |   5.6   |
| b07204_005 |    high   |       125       |   0.6   |
| b07204_006 |    low    |       601       |   95.9  |
| b07204_006 |   medium  |        26       |   4.1   |
| b07204_007 |    low    |      28205      |   94.8  |
| b07204_007 |   medium  |       1513      |   5.1   |
| b07204_007 |    high   |        39       |   0.1   |
| b07204_008 |    low    |      22513      |   97.3  |
| b07204_008 |   medium  |       596       |   2.6   |
| b07204_008 |    high   |        25       |   0.1   |
| b07204_009 |    low    |      25090      |   95.6  |
| b07204_009 |   medium  |       1110      |   4.2   |
| b07204_009 |    high   |        38       |   0.1   |
| b07204_010 |    low    |      21359      |   96.8  |
| b07204_010 |   medium  |       695       |   3.1   |
| b07204_010 |    high   |        22       |   0.1   |
| b07204_011 |    low    |      18295      |   97.5  |
| b07204_011 |   medium  |       453       |   2.4   |
| b07204_011 |    high   |        13       |   0.1   |
| b07204_012 |    low    |       5059      |   97.9  |
| b07204_012 |   medium  |       104       |   2.0   |
| b07204_012 |    high   |        3        |   0.1   |
| b07204_013 |    low    |       6642      |   98.8  |
| b07204_013 |   medium  |        77       |   1.1   |
| b07204_013 |    high   |        1        |   0.0   |
| b07204_014 |    low    |      10055      |   98.8  |
| b07204_014 |   medium  |       118       |   1.2   |
| b07204_014 |    high   |        8        |   0.1   |
| b07204_015 |    low    |       6767      |   98.5  |
| b07204_015 |   medium  |       102       |   1.5   |
| b07204_015 |    high   |        2        |   0.0   |
| b07204_016 |    low    |       7372      |   97.2  |
| b07204_016 |   medium  |       200       |   2.6   |
| b07204_016 |    high   |        10       |   0.1   |
| b07204_017 |    low    |       551       |   94.8  |
| b07204_017 |   medium  |        28       |   4.8   |
| b07204_017 |    high   |        2        |   0.3   |
| b07204_018 |    low    |        91       |   98.9  |
| b07204_018 |   medium  |        1        |   1.1   |
| b07204_019 |    low    |       7153      |   97.3  |
| b07204_019 |   medium  |       188       |   2.6   |
| b07204_019 |    high   |        10       |   0.1   |
| b08006_001 |    low    |      36576      |   78.4  |
| b08006_001 |   medium  |       7632      |   16.3  |
