Coefficient of Variation for Change: Percent Total by Table and Summary Level

+--------+----------+-----------+-----------------+---------+
| table  | sumlevel | change_cv | change_cv_count | percent |
| b07204 |   060    |    high   |       1840      |   3.4   |
| b07204 |   140    |    low    |      124829     |   94.4  |
| b07204 |   140    |   medium  |       6663      |   5.0   |
| b07204 |   140    |    high   |       776       |   0.6   |
| b07204 |   160    |    low    |      37865      |   85.9  |
| b07204 |   160    |   medium  |       3691      |   8.4   |
| b07204 |   160    |    high   |       2534      |   5.7   |
| b07204 |   170    |    low    |        24       |   60.0  |
| b07204 |   170    |   medium  |        9        |   22.5  |
| b07204 |   170    |    high   |        7        |   17.5  |
| b07204 |   250    |    low    |       827       |   91.6  |
| b07204 |   250    |   medium  |        65       |   7.2   |
| b07204 |   250    |    high   |        11       |   1.2   |
| b07204 |   251    |    low    |       560       |   94.4  |
| b07204 |   251    |   medium  |        31       |   5.2   |
| b07204 |   251    |    high   |        2        |   0.3   |
| b07204 |   256    |    low    |       694       |   94.8  |
| b07204 |   256    |   medium  |        36       |   4.9   |
| b07204 |   256    |    high   |        2        |   0.3   |
| b07204 |   310    |    low    |       2717      |   65.5  |
| b07204 |   310    |   medium  |       723       |   17.4  |
| b07204 |   310    |    high   |       711       |   17.1  |
| b07204 |   400    |    low    |       8767      |   85.4  |
| b07204 |   400    |   medium  |       1140      |   11.1  |
| b07204 |   400    |    high   |       354       |   3.4   |
| b07204 |   500    |    low    |       1527      |   57.4  |
| b07204 |   500    |   medium  |       636       |   23.9  |
| b07204 |   500    |    high   |       497       |   18.7  |
| b07204 |   795    |    low    |       8505      |   68.4  |
| b07204 |   795    |   medium  |       2526      |   20.3  |
| b07204 |   795    |    high   |       1407      |   11.3  |
| b07204 |   860    |    low    |      54452      |   91.2  |
| b07204 |   860    |   medium  |       4646      |   7.8   |
| b07204 |   860    |    high   |       633       |   1.1   |
| b08006 |   010    |   medium  |        3        |   20.0  |
| b08006 |   010    |    high   |        12       |   80.0  |
| b08006 |   020    |    low    |        6        |   10.3  |
| b08006 |   020    |   medium  |        12       |   20.7  |
| b08006 |   020    |    high   |        40       |   69.0  |
| b08006 |   030    |    low    |        27       |   21.3  |
| b08006 |   030    |   medium  |        33       |   26.0  |
| b08006 |   030    |    high   |        67       |   52.8  |
| b08006 |   040    |    low    |       201       |   35.1  |
| b08006 |   040    |   medium  |       113       |   19.8  |
| b08006 |   040    |    high   |       258       |   45.1  |
| b08006 |   050    |    low    |       8362      |   73.4  |
| b08006 |   050    |   medium  |       1867      |   16.4  |
| b08006 |   050    |    high   |       1165      |   10.2  |
| b08006 |   060    |    low    |      45567      |   88.6  |
| b08006 |   060    |   medium  |       4486      |   8.7   |
| b08006 |   060    |    high   |       1389      |   2.7   |
| b08006 |   140    |    low    |      126440     |   89.2  |
| b08006 |   140    |   medium  |      12852      |   9.1   |
| b08006 |   140    |    high   |       2398      |   1.7   |
| b08006 |   160    |    low    |      35045      |   85.8  |
| b08006 |   160    |   medium  |       4542      |   11.1  |
| b08006 |   160    |    high   |       1278      |   3.1   |
| b08006 |   170    |    low    |        20       |   46.5  |
| b08006 |   170    |   medium  |        10       |   23.3  |
| b08006 |   170    |    high   |        13       |   30.2  |
| b08006 |   250    |    low    |       724       |   87.7  |
| b08006 |   250    |   medium  |        97       |   11.7  |
| b08006 |   250    |    high   |        5        |   0.6   |
| b08006 |   251    |    low    |       498       |   95.0  |
| b08006 |   251    |   medium  |        26       |   5.0   |
| b08006 |   256    |    low    |       639       |   92.7  |
| b08006 |   256    |   medium  |        50       |   7.3   |
| b08006 |   310    |    low    |       2441      |   65.7  |
| b08006 |   310    |   medium  |       763       |   20.5  |
| b08006 |   310    |    high   |       512       |   13.8  |
| b08006 |   400    |    low    |       7134      |   81.6  |
| b08006 |   400    |   medium  |       1072      |   12.3  |
| b08006 |   400    |    high   |       533       |   6.1   |
| b08006 |   500    |    low    |       1302      |   41.7  |
| b08006 |   500    |   medium  |       799       |   25.6  |
