Statistically Significant Difference: Percent Total by Table and Summary Level

+--------+----------+---------+---------------+---------+
| table  | sumlevel | sig_dif | sig_dif_count | percent |
| b15002 |   020    |  False  |       6       |   4.3   |
| b15002 |   020    |   True  |      134      |   95.7  |
| b15002 |   030    |  False  |       25      |   7.9   |
| b15002 |   030    |   True  |      290      |   92.1  |
| b15002 |   040    |  False  |      450      |   24.7  |
| b15002 |   040    |   True  |      1370     |   75.3  |
| b15002 |   050    |  False  |     84069     |   74.6  |
| b15002 |   050    |   True  |     28631     |   25.4  |
| b15002 |   060    |  False  |    1169069    |   91.4  |
| b15002 |   060    |   True  |     109971    |   8.6   |
| b15002 |   140    |  False  |    2308914    |   89.6  |
| b15002 |   140    |   True  |     268556    |   10.4  |
| b15002 |   150    |  False  |    7217498    |   93.7  |
| b15002 |   150    |   True  |     481592    |   6.3   |
| b15002 |   160    |  False  |     953430    |   92.3  |
| b15002 |   160    |   True  |     79420     |   7.7   |
| b15002 |   170    |  False  |      180      |   64.3  |
| b15002 |   170    |   True  |      100      |   35.7  |
| b15002 |   250    |  False  |     22529     |   92.9  |
| b15002 |   250    |   True  |      1726     |   7.1   |
| b15002 |   251    |  False  |     15596     |   92.8  |
| b15002 |   251    |   True  |      1204     |   7.2   |
| b15002 |   256    |  False  |     15381     |   91.4  |
| b15002 |   256    |   True  |      1454     |   8.6   |
| b15002 |   258    |  False  |     29671     |   92.6  |
| b15002 |   258    |   True  |      2354     |   7.4   |
| b15002 |   310    |  False  |     18819     |   67.5  |
| b15002 |   310    |   True  |      9041     |   32.5  |
| b15002 |   400    |  False  |     106050    |   84.4  |
| b15002 |   400    |   True  |     19670     |   15.6  |
| b15002 |   500    |  False  |      5894     |   45.8  |
| b15002 |   500    |   True  |      6986     |   54.2  |
| b15002 |   795    |  False  |     55391     |   66.6  |
| b15002 |   795    |   True  |     27839     |   33.4  |
| b15002 |   860    |  False  |    1036835    |   89.4  |
| b15002 |   860    |   True  |     122365    |   10.6  |
| b19001 |   010    |   True  |       17      |  100.0  |
| b19001 |   020    |  False  |       2       |   2.9   |
| b19001 |   020    |   True  |       66      |   97.1  |
| b19001 |   030    |  False  |       8       |   5.2   |
| b19001 |   030    |   True  |      145      |   94.8  |
| b19001 |   040    |  False  |      134      |   15.2  |
| b19001 |   040    |   True  |      750      |   84.8  |
| b19001 |   050    |  False  |     38069     |   69.5  |
| b19001 |   050    |   True  |     16671     |   30.5  |
| b19001 |   060    |  False  |     541145    |   87.1  |
| b19001 |   060    |   True  |     80103     |   12.9  |
| b19001 |   140    |  False  |    1054007    |   84.2  |
| b19001 |   140    |   True  |     197907    |   15.8  |
| b19001 |   150    |  False  |    3373845    |   90.2  |
| b19001 |   150    |   True  |     365713    |   9.8   |
| b19001 |   160    |  False  |     444289    |   88.6  |
| b19001 |   160    |   True  |     57381     |   11.4  |
| b19001 |   170    |  False  |       72      |   52.9  |
| b19001 |   170    |   True  |       64      |   47.1  |
| b19001 |   250    |  False  |     10677     |   90.6  |
| b19001 |   250    |   True  |      1104     |   9.4   |
| b19001 |   251    |  False  |      7466     |   91.5  |
| b19001 |   251    |   True  |      694      |   8.5   |
| b19001 |   256    |  False  |      7215     |   88.2  |
| b19001 |   256    |   True  |      962      |   11.8  |
| b19001 |   258    |  False  |     13833     |   88.9  |
| b19001 |   258    |   True  |      1722     |   11.1  |
| b19001 |   310    |  False  |      7947     |   58.7  |
| b19001 |   310    |   True  |      5585     |   41.3  |
| b19001 |   400    |  False  |     48346     |   79.2  |
| b19001 |   400    |   True  |     12718     |   20.8  |
| b19001 |   500    |  False  |      1909     |   30.5  |
| b19001 |   500    |   True  |      4347     |   69.5  |
| b19001 |   795    |  False  |     22529     |   55.7  |
| b19001 |   795    |   True  |     17897     |   44.3  |
| b19001 |   860    |  False  |     476625    |   84.7  |
| b19001 |   860    |   True  |     86415     |   15.3  |
| b19013 |   010    |   True  |       1       |  100.0  |
| b19013 |   020    |   True  |       4       |  100.0  |
| b19013 |   030    |   True  |       9       |  100.0  |
| b19013 |   040    |  False  |       3       |   5.8   |
| b19013 |   040    |   True  |       49      |   94.2  |
| b19013 |   050    |  False  |      1926     |   59.8  |
| b19013 |   050    |   True  |      1294     |   40.2  |
| b19013 |   060    |  False  |     27493     |   75.2  |
| b19013 |   060    |   True  |      6010     |   16.4  |
| b19013 |   060    |   nan   |      3041     |   8.3   |
| b19013 |   140    |  False  |     59198     |   80.4  |
| b19013 |   140    |   True  |     13566     |   18.4  |
| b19013 |   140    |   nan   |      878      |   1.2   |
| b19013 |   150    |  False  |     182749    |   83.1  |
| b19013 |   150    |   True  |     28212     |   12.8  |
| b19013 |   150    |   nan   |      9013     |   4.1   |
| b19013 |   160    |  False  |     22476     |   76.2  |
| b19013 |   160    |   True  |      4720     |   16.0  |
| b19013 |   160    |   nan   |      2314     |   7.8   |
| b19013 |   170    |  False  |       4       |   50.0  |
| b19013 |   170    |   True  |       4       |   50.0  |
| b19013 |   250    |  False  |      449      |   64.8  |
| b19013 |   250    |   True  |       97      |   14.0  |
| b19013 |   250    |   nan   |      147      |   21.2  |
| b19013 |   251    |  False  |      313      |   65.2  |
| b19013 |   251    |   True  |       53      |   11.0  |
| b19013 |   251    |   nan   |      114      |   23.8  |
| b19013 |   256    |  False  |      338      |   70.3  |
| b19013 |   256    |   True  |       74      |   15.4  |
| b19013 |   256    |   nan   |       69      |   14.3  |
| b19013 |   258    |  False  |      705      |   77.0  |
| b19013 |   258    |   True  |      125      |   13.7  |
| b19013 |   258    |   nan   |       85      |   9.3   |
| b19013 |   310    |  False  |      349      |   43.8  |
| b19013 |   310    |   True  |      447      |   56.2  |
| b19013 |   400    |  False  |      2656     |   73.9  |
| b19013 |   400    |   True  |      936      |   26.1  |
| b19013 |   500    |  False  |       22      |   6.0   |
| b19013 |   500    |   True  |      346      |   94.0  |
| b19013 |   795    |  False  |      708      |   29.8  |
| b19013 |   795    |   True  |      1670     |   70.2  |
| b19013 |   860    |  False  |     23971     |   72.4  |
| b19013 |   860    |   True  |      6698     |   20.2  |
| b19013 |   860    |   nan   |      2451     |   7.4   |
| b19083 |   010    |   True  |       1       |  100.0  |
| b19083 |   020    |   True  |       4       |  100.0  |
| b19083 |   030    |   True  |       9       |  100.0  |
| b19083 |   040    |  False  |       11      |   21.2  |
| b19083 |   040    |   True  |       41      |   78.8  |
| b19083 |   050    |  False  |      2533     |   78.7  |
| b19083 |   050    |   True  |      687      |   21.3  |
| b19083 |   060    |  False  |     28878     |   79.0  |
| b19083 |   060    |   True  |      6419     |   17.6  |
| b19083 |   060    |   nan   |      1247     |   3.4   |
| b19083 |   140    |  False  |     61166     |   83.1  |
| b19083 |   140    |   True  |     11825     |   16.1  |
| b19083 |   140    |   nan   |      651      |   0.9   |
| b19083 |   160    |  False  |     24272     |   82.3  |
| b19083 |   160    |   True  |      4473     |   15.2  |
| b19083 |   160    |   nan   |      765      |   2.6   |
| b19083 |   170    |  False  |       4       |   50.0  |
| b19083 |   170    |   True  |       4       |   50.0  |
| b19083 |   250    |  False  |      484      |   69.8  |
| b19083 |   250    |   True  |      107      |   15.4  |
| b19083 |   250    |   nan   |      102      |   14.7  |
| b19083 |   251    |  False  |      331      |   69.0  |
| b19083 |   251    |   True  |       82      |   17.1  |
| b19083 |   251    |   nan   |       67      |   14.0  |
| b19083 |   256    |  False  |      348      |   72.3  |
| b19083 |   256    |   True  |       86      |   17.9  |
