Statistically Significant Difference: Percent Total by Variable Type and Summary Level

+----------+----------+---------+---------------+---------+
| vartype  | sumlevel | sig_dif | sig_dif_count | percent |
| summary  |   256    |   nan   |      616      |   12.8  |
| summary  |   258    |  False  |      6216     |   75.5  |
| summary  |   258    |   True  |      1271     |   15.4  |
| summary  |   258    |   nan   |      748      |   9.1   |
| summary  |   310    |  False  |      4205     |   52.8  |
| summary  |   310    |   True  |      3755     |   47.2  |
| summary  |   400    |  False  |     27606     |   76.9  |
| summary  |   400    |   True  |      8261     |   23.0  |
| summary  |   400    |   nan   |       53      |   0.1   |
| summary  |   500    |  False  |      1174     |   31.9  |
| summary  |   500    |   True  |      2506     |   68.1  |
| summary  |   795    |  False  |     12082     |   50.8  |
| summary  |   795    |   True  |     11680     |   49.1  |
| summary  |   795    |   nan   |       18      |   0.1   |
| summary  |   860    |  False  |     246282    |   74.4  |
| summary  |   860    |   True  |     62641     |   18.9  |
| summary  |   860    |   nan   |     22277     |   6.7   |
| universe |   010    |   True  |       11      |  100.0  |
| universe |   020    |   True  |       44      |  100.0  |
| universe |   030    |   True  |       99      |  100.0  |
| universe |   040    |  False  |       4       |   0.7   |
| universe |   040    |   True  |      567      |   99.1  |
| universe |   040    |   nan   |       1       |   0.2   |
| universe |   050    |  False  |     12071     |   34.1  |
| universe |   050    |   True  |     23246     |   65.6  |
| universe |   050    |   nan   |      103      |   0.3   |
| universe |   060    |  False  |     313649    |   78.0  |
| universe |   060    |   True  |     87216     |   21.7  |
| universe |   060    |   nan   |      1119     |   0.3   |
| universe |   140    |  False  |     626758    |   77.4  |
| universe |   140    |   True  |     180752    |   22.3  |
| universe |   140    |   nan   |      2552     |   0.3   |
| universe |   150    |  False  |    1097061    |   83.1  |
| universe |   150    |   True  |     222783    |   16.9  |
| universe |   160    |  False  |     254907    |   78.5  |
| universe |   160    |   True  |     69149     |   21.3  |
| universe |   160    |   nan   |      554      |   0.2   |
| universe |   170    |  False  |       24      |   27.3  |
| universe |   170    |   True  |       64      |   72.7  |
| universe |   250    |  False  |      6301     |   82.7  |
| universe |   250    |   True  |      1321     |   17.3  |
| universe |   250    |   nan   |       1       |   0.0   |
