Coefficient of Variation for Change: Percent Total by All Categories

+------------+--------+----------+-----------+-----------------+---------+
|  variable  | table  | sumlevel | change_cv | change_cv_count | percent |
| b01001_004 | b01001 |   030    |    low    |        3        |   50.0  |
| b01001_004 | b01001 |   030    |    high   |        3        |   50.0  |
| b01001_004 | b01001 |   040    |    low    |        15       |   46.9  |
| b01001_004 | b01001 |   040    |   medium  |        10       |   31.2  |
| b01001_004 | b01001 |   040    |    high   |        7        |   21.9  |
| b01001_004 | b01001 |   050    |    low    |       665       |   90.7  |
| b01001_004 | b01001 |   050    |   medium  |        67       |   9.1   |
| b01001_004 | b01001 |   050    |    high   |        1        |   0.1   |
| b01001_004 | b01001 |   060    |    low    |       4371      |   97.3  |
| b01001_004 | b01001 |   060    |   medium  |       116       |   2.6   |
| b01001_004 | b01001 |   060    |    high   |        7        |   0.2   |
| b01001_004 | b01001 |   140    |    low    |      10966      |   97.5  |
| b01001_004 | b01001 |   140    |   medium  |       283       |   2.5   |
| b01001_004 | b01001 |   140    |    high   |        1        |   0.0   |
| b01001_004 | b01001 |   150    |    low    |      25139      |   99.0  |
| b01001_004 | b01001 |   150    |   medium  |       246       |   1.0   |
| b01001_004 | b01001 |   150    |    high   |        5        |   0.0   |
| b01001_004 | b01001 |   160    |    low    |       3073      |   97.3  |
| b01001_004 | b01001 |   160    |   medium  |        83       |   2.6   |
| b01001_004 | b01001 |   160    |    high   |        1        |   0.0   |
| b01001_004 | b01001 |   170    |    low    |        1        |  100.0  |
| b01001_004 | b01001 |   250    |    low    |        64       |   95.5  |
| b01001_004 | b01001 |   250    |   medium  |        3        |   4.5   |
| b01001_004 | b01001 |   251    |    low    |        59       |   95.2  |
| b01001_004 | b01001 |   251    |   medium  |        3        |   4.8   |
| b01001_004 | b01001 |   256    |    low    |        50       |   96.2  |
| b01001_004 | b01001 |   256    |   medium  |        2        |   3.8   |
| b01001_004 | b01001 |   258    |    low    |       128       |   99.2  |
| b01001_004 | b01001 |   258    |   medium  |        1        |   0.8   |
| b01001_004 | b01001 |   310    |    low    |       165       |   86.8  |
| b01001_004 | b01001 |   310    |   medium  |        22       |   11.6  |
| b01001_004 | b01001 |   310    |    high   |        3        |   1.6   |
| b01001_004 | b01001 |   400    |    low    |       562       |   93.8  |
| b01001_004 | b01001 |   400    |   medium  |        34       |   5.7   |
| b01001_004 | b01001 |   400    |    high   |        3        |   0.5   |
| b01001_004 | b01001 |   500    |    low    |       121       |   85.2  |
| b01001_004 | b01001 |   500    |   medium  |        20       |   14.1  |
| b01001_004 | b01001 |   500    |    high   |        1        |   0.7   |
| b01001_004 | b01001 |   795    |    low    |       517       |   90.7  |
| b01001_004 | b01001 |   795    |   medium  |        53       |   9.3   |
| b01001_004 | b01001 |   860    |    low    |       4169      |   97.2  |
