Statistically Significant Difference: Percent Total by All Categories

+------------+--------+----------+---------+---------------+---------+
|  variable  | table  | sumlevel | sig_dif | sig_dif_count | percent |
| b01001_006 | b01001 |   795    |   True  |      784      |   33.0  |
| b01001_006 | b01001 |   860    |  False  |     29020     |   87.6  |
| b01001_006 | b01001 |   860    |   True  |      4100     |   12.4  |
| b01001_007 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_007 | b01001 |   020    |  False  |       1       |   25.0  |
| b01001_007 | b01001 |   020    |   True  |       3       |   75.0  |
| b01001_007 | b01001 |   030    |   True  |       9       |  100.0  |
| b01001_007 | b01001 |   040    |  False  |       12      |   23.1  |
| b01001_007 | b01001 |   040    |   True  |       40      |   76.9  |
| b01001_007 | b01001 |   050    |  False  |      2057     |   63.9  |
| b01001_007 | b01001 |   050    |   True  |      1163     |   36.1  |
| b01001_007 | b01001 |   060    |  False  |     33053     |   90.4  |
| b01001_007 | b01001 |   060    |   True  |      3491     |   9.6   |
| b01001_007 | b01001 |   140    |  False  |     63997     |   86.9  |
| b01001_007 | b01001 |   140    |   True  |      9645     |   13.1  |
| b01001_007 | b01001 |   150    |  False  |     207504    |   94.3  |
| b01001_007 | b01001 |   150    |   True  |     12470     |   5.7   |
| b01001_007 | b01001 |   160    |  False  |     27238     |   92.3  |
| b01001_007 | b01001 |   160    |   True  |      2272     |   7.7   |
| b01001_007 | b01001 |   170    |  False  |       3       |   37.5  |
| b01001_007 | b01001 |   170    |   True  |       5       |   62.5  |
| b01001_007 | b01001 |   250    |  False  |      645      |   93.1  |
| b01001_007 | b01001 |   250    |   True  |       48      |   6.9   |
| b01001_007 | b01001 |   251    |  False  |      442      |   92.1  |
| b01001_007 | b01001 |   251    |   True  |       38      |   7.9   |
| b01001_007 | b01001 |   256    |  False  |      440      |   91.5  |
| b01001_007 | b01001 |   256    |   True  |       41      |   8.5   |
| b01001_007 | b01001 |   258    |  False  |      841      |   91.9  |
| b01001_007 | b01001 |   258    |   True  |       74      |   8.1   |
| b01001_007 | b01001 |   310    |  False  |      458      |   57.5  |
| b01001_007 | b01001 |   310    |   True  |      338      |   42.5  |
| b01001_007 | b01001 |   400    |  False  |      2945     |   82.0  |
| b01001_007 | b01001 |   400    |   True  |      647      |   18.0  |
| b01001_007 | b01001 |   500    |  False  |      190      |   51.6  |
| b01001_007 | b01001 |   500    |   True  |      178      |   48.4  |
| b01001_007 | b01001 |   795    |  False  |      1759     |   74.0  |
| b01001_007 | b01001 |   795    |   True  |      619      |   26.0  |
| b01001_007 | b01001 |   860    |  False  |     29458     |   88.9  |
| b01001_007 | b01001 |   860    |   True  |      3662     |   11.1  |
| b01001_008 | b01001 |   010    |   True  |       1       |  100.0  |
| b01001_008 | b01001 |   020    |   True  |       4       |  100.0  |
| b01001_008 | b01001 |   030    |  False  |       2       |   22.2  |
| b01001_008 | b01001 |   030    |   True  |       7       |   77.8  |
| b01001_008 | b01001 |   040    |  False  |       30      |   57.7  |
| b01001_008 | b01001 |   040    |   True  |       22      |   42.3  |
| b01001_008 | b01001 |   050    |  False  |      2691     |   83.6  |
| b01001_008 | b01001 |   050    |   True  |      529      |   16.4  |
| b01001_008 | b01001 |   060    |  False  |     34443     |   94.3  |
| b01001_008 | b01001 |   060    |   True  |      2101     |   5.7   |
| b01001_008 | b01001 |   140    |  False  |     67487     |   91.6  |
| b01001_008 | b01001 |   140    |   True  |      6155     |   8.4   |
| b01001_008 | b01001 |   150    |  False  |     215213    |   97.8  |
| b01001_008 | b01001 |   150    |   True  |      4761     |   2.2   |
| b01001_008 | b01001 |   160    |  False  |     28127     |   95.3  |
| b01001_008 | b01001 |   160    |   True  |      1383     |   4.7   |
| b01001_008 | b01001 |   170    |  False  |       6       |   75.0  |
| b01001_008 | b01001 |   170    |   True  |       2       |   25.0  |
| b01001_008 | b01001 |   250    |  False  |      645      |   93.1  |
| b01001_008 | b01001 |   250    |   True  |       48      |   6.9   |
| b01001_008 | b01001 |   251    |  False  |      457      |   95.2  |
| b01001_008 | b01001 |   251    |   True  |       23      |   4.8   |
