"table"	"variable"	"sumlevel"	"sig_dif"	"sig_dif_count"
"b01001"	"b01001_006"	"150"	True	20194
"b01001"	"b01001_006"	"160"	False	26613
"b01001"	"b01001_006"	"160"	True	2897
"b01001"	"b01001_006"	"170"	False	3
"b01001"	"b01001_006"	"170"	True	5
"b01001"	"b01001_006"	"250"	False	616
"b01001"	"b01001_006"	"250"	True	77
"b01001"	"b01001_006"	"251"	False	426
"b01001"	"b01001_006"	"251"	True	54
"b01001"	"b01001_006"	"256"	False	419
"b01001"	"b01001_006"	"256"	True	62
"b01001"	"b01001_006"	"258"	False	800
"b01001"	"b01001_006"	"258"	True	115
"b01001"	"b01001_006"	"310"	False	392
"b01001"	"b01001_006"	"310"	True	404
"b01001"	"b01001_006"	"400"	False	2909
"b01001"	"b01001_006"	"400"	True	683
"b01001"	"b01001_006"	"500"	False	173
"b01001"	"b01001_006"	"500"	True	195
"b01001"	"b01001_006"	"795"	False	1594
"b01001"	"b01001_006"	"795"	True	784
"b01001"	"b01001_006"	"860"	False	29020
"b01001"	"b01001_006"	"860"	True	4100
"b01001"	"b01001_007"	"010"	True	1
"b01001"	"b01001_007"	"020"	False	1
"b01001"	"b01001_007"	"020"	True	3
"b01001"	"b01001_007"	"030"	True	9
"b01001"	"b01001_007"	"040"	False	12
"b01001"	"b01001_007"	"040"	True	40
"b01001"	"b01001_007"	"050"	False	2057
"b01001"	"b01001_007"	"050"	True	1163
"b01001"	"b01001_007"	"060"	False	33053
"b01001"	"b01001_007"	"060"	True	3491
"b01001"	"b01001_007"	"140"	False	63997
"b01001"	"b01001_007"	"140"	True	9645
"b01001"	"b01001_007"	"150"	False	207504
"b01001"	"b01001_007"	"150"	True	12470
"b01001"	"b01001_007"	"160"	False	27238
"b01001"	"b01001_007"	"160"	True	2272
"b01001"	"b01001_007"	"170"	False	3
"b01001"	"b01001_007"	"170"	True	5
"b01001"	"b01001_007"	"250"	False	645
"b01001"	"b01001_007"	"250"	True	48
"b01001"	"b01001_007"	"251"	False	442
"b01001"	"b01001_007"	"251"	True	38
"b01001"	"b01001_007"	"256"	False	440
"b01001"	"b01001_007"	"256"	True	41
"b01001"	"b01001_007"	"258"	False	841
"b01001"	"b01001_007"	"258"	True	74
"b01001"	"b01001_007"	"310"	False	458
"b01001"	"b01001_007"	"310"	True	338
"b01001"	"b01001_007"	"400"	False	2945
"b01001"	"b01001_007"	"400"	True	647
"b01001"	"b01001_007"	"500"	False	190
"b01001"	"b01001_007"	"500"	True	178
"b01001"	"b01001_007"	"795"	False	1759
"b01001"	"b01001_007"	"795"	True	619
"b01001"	"b01001_007"	"860"	False	29458
"b01001"	"b01001_007"	"860"	True	3662
"b01001"	"b01001_008"	"010"	True	1
"b01001"	"b01001_008"	"020"	True	4
"b01001"	"b01001_008"	"030"	False	2
"b01001"	"b01001_008"	"030"	True	7
"b01001"	"b01001_008"	"040"	False	30
"b01001"	"b01001_008"	"040"	True	22
"b01001"	"b01001_008"	"050"	False	2691
"b01001"	"b01001_008"	"050"	True	529
"b01001"	"b01001_008"	"060"	False	34443
"b01001"	"b01001_008"	"060"	True	2101
"b01001"	"b01001_008"	"140"	False	67487
"b01001"	"b01001_008"	"140"	True	6155
"b01001"	"b01001_008"	"150"	False	215213
"b01001"	"b01001_008"	"150"	True	4761
"b01001"	"b01001_008"	"160"	False	28127
"b01001"	"b01001_008"	"160"	True	1383
"b01001"	"b01001_008"	"170"	False	6
"b01001"	"b01001_008"	"170"	True	2
