"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b05002"	"b05002_010"	"040"	"low"	38
"b05002"	"b05002_010"	"040"	"medium"	9
"b05002"	"b05002_010"	"050"	"high"	50
"b05002"	"b05002_010"	"050"	"low"	2284
"b05002"	"b05002_010"	"050"	"medium"	44
"b05002"	"b05002_010"	"050"	""	842
"b05002"	"b05002_010"	"060"	"low"	10092
"b05002"	"b05002_010"	"060"	"medium"	40
"b05002"	"b05002_010"	"060"	""	26412
"b05002"	"b05002_010"	"140"	"high"	1
"b05002"	"b05002_010"	"140"	"low"	37040
"b05002"	"b05002_010"	"140"	"medium"	48
"b05002"	"b05002_010"	"140"	""	36553
"b05002"	"b05002_010"	"160"	"high"	6
"b05002"	"b05002_010"	"160"	"low"	8695
"b05002"	"b05002_010"	"160"	"medium"	23
"b05002"	"b05002_010"	"160"	""	20786
"b05002"	"b05002_010"	"170"	"low"	6
"b05002"	"b05002_010"	"170"	""	2
"b05002"	"b05002_010"	"250"	"low"	121
"b05002"	"b05002_010"	"250"	""	572
"b05002"	"b05002_010"	"251"	"low"	41
"b05002"	"b05002_010"	"251"	""	439
"b05002"	"b05002_010"	"256"	"low"	85
"b05002"	"b05002_010"	"256"	""	396
"b05002"	"b05002_010"	"310"	"high"	9
"b05002"	"b05002_010"	"310"	"low"	715
"b05002"	"b05002_010"	"310"	"medium"	20
"b05002"	"b05002_010"	"310"	""	52
"b05002"	"b05002_010"	"400"	"high"	8
"b05002"	"b05002_010"	"400"	"low"	2002
"b05002"	"b05002_010"	"400"	"medium"	22
"b05002"	"b05002_010"	"400"	""	1560
"b05002"	"b05002_010"	"500"	"high"	1
"b05002"	"b05002_010"	"500"	"low"	349
"b05002"	"b05002_010"	"500"	"medium"	18
"b05002"	"b05002_010"	"795"	"high"	23
"b05002"	"b05002_010"	"795"	"low"	2317
"b05002"	"b05002_010"	"795"	"medium"	29
"b05002"	"b05002_010"	"795"	""	9
"b05002"	"b05002_010"	"860"	"high"	24
"b05002"	"b05002_010"	"860"	"low"	13265
"b05002"	"b05002_010"	"860"	"medium"	62
"b05002"	"b05002_010"	"860"	""	19769
"b05002"	"b05002_011"	"010"	"low"	1
"b05002"	"b05002_011"	"020"	"low"	3
"b05002"	"b05002_011"	"020"	"medium"	1
"b05002"	"b05002_011"	"030"	"low"	9
"b05002"	"b05002_011"	"040"	"low"	52
"b05002"	"b05002_011"	"050"	"low"	1806
"b05002"	"b05002_011"	"050"	"medium"	4
"b05002"	"b05002_011"	"050"	""	1410
"b05002"	"b05002_011"	"060"	"low"	4671
"b05002"	"b05002_011"	"060"	"medium"	1
"b05002"	"b05002_011"	"060"	""	31872
"b05002"	"b05002_011"	"140"	"high"	2
"b05002"	"b05002_011"	"140"	"low"	14463
"b05002"	"b05002_011"	"140"	"medium"	3
"b05002"	"b05002_011"	"140"	""	59174
"b05002"	"b05002_011"	"160"	"high"	1
"b05002"	"b05002_011"	"160"	"low"	4222
"b05002"	"b05002_011"	"160"	"medium"	1
"b05002"	"b05002_011"	"160"	""	25286
"b05002"	"b05002_011"	"170"	"low"	6
"b05002"	"b05002_011"	"170"	""	2
"b05002"	"b05002_011"	"250"	"low"	157
"b05002"	"b05002_011"	"250"	""	536
"b05002"	"b05002_011"	"251"	"low"	44
"b05002"	"b05002_011"	"251"	""	436
"b05002"	"b05002_011"	"256"	"low"	106
"b05002"	"b05002_011"	"256"	""	375
"b05002"	"b05002_011"	"310"	"low"	643
"b05002"	"b05002_011"	"310"	"medium"	3
"b05002"	"b05002_011"	"310"	""	150
"b05002"	"b05002_011"	"400"	"high"	1
"b05002"	"b05002_011"	"400"	"low"	1222
