"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b25063"	"b25063_019"	"258"	"medium"	2
"b25063"	"b25063_019"	"310"	"high"	19
"b25063"	"b25063_019"	"310"	"low"	243
"b25063"	"b25063_019"	"310"	"medium"	76
"b25063"	"b25063_019"	"400"	"high"	20
"b25063"	"b25063_019"	"400"	"low"	692
"b25063"	"b25063_019"	"400"	"medium"	101
"b25063"	"b25063_019"	"500"	"high"	48
"b25063"	"b25063_019"	"500"	"low"	101
"b25063"	"b25063_019"	"500"	"medium"	144
"b25063"	"b25063_019"	"795"	"high"	20
"b25063"	"b25063_019"	"795"	"low"	804
"b25063"	"b25063_019"	"795"	"medium"	354
"b25063"	"b25063_019"	"860"	"high"	2
"b25063"	"b25063_019"	"860"	"low"	3449
"b25063"	"b25063_019"	"860"	"medium"	385
"b25063"	"b25063_020"	"010"	"high"	1
"b25063"	"b25063_020"	"020"	"high"	4
"b25063"	"b25063_020"	"030"	"high"	8
"b25063"	"b25063_020"	"030"	"medium"	1
"b25063"	"b25063_020"	"040"	"high"	36
"b25063"	"b25063_020"	"040"	"low"	6
"b25063"	"b25063_020"	"040"	"medium"	6
"b25063"	"b25063_020"	"050"	"high"	85
"b25063"	"b25063_020"	"050"	"low"	803
"b25063"	"b25063_020"	"050"	"medium"	263
"b25063"	"b25063_020"	"060"	"high"	75
"b25063"	"b25063_020"	"060"	"low"	2936
"b25063"	"b25063_020"	"060"	"medium"	488
"b25063"	"b25063_020"	"140"	"high"	9
"b25063"	"b25063_020"	"140"	"low"	12977
"b25063"	"b25063_020"	"140"	"medium"	1175
"b25063"	"b25063_020"	"150"	"high"	3
"b25063"	"b25063_020"	"150"	"low"	20187
"b25063"	"b25063_020"	"150"	"medium"	961
"b25063"	"b25063_020"	"160"	"high"	68
"b25063"	"b25063_020"	"160"	"low"	2694
"b25063"	"b25063_020"	"160"	"medium"	540
"b25063"	"b25063_020"	"170"	"high"	3
"b25063"	"b25063_020"	"170"	"low"	1
"b25063"	"b25063_020"	"170"	"medium"	2
"b25063"	"b25063_020"	"250"	"high"	3
"b25063"	"b25063_020"	"250"	"low"	38
"b25063"	"b25063_020"	"250"	"medium"	4
"b25063"	"b25063_020"	"251"	"low"	16
"b25063"	"b25063_020"	"251"	"medium"	1
"b25063"	"b25063_020"	"256"	"low"	27
"b25063"	"b25063_020"	"256"	"medium"	3
"b25063"	"b25063_020"	"258"	"low"	44
"b25063"	"b25063_020"	"258"	"medium"	3
"b25063"	"b25063_020"	"310"	"high"	47
"b25063"	"b25063_020"	"310"	"low"	254
"b25063"	"b25063_020"	"310"	"medium"	136
"b25063"	"b25063_020"	"400"	"high"	60
"b25063"	"b25063_020"	"400"	"low"	736
"b25063"	"b25063_020"	"400"	"medium"	198
"b25063"	"b25063_020"	"500"	"high"	125
"b25063"	"b25063_020"	"500"	"low"	51
"b25063"	"b25063_020"	"500"	"medium"	159
"b25063"	"b25063_020"	"795"	"high"	92
"b25063"	"b25063_020"	"795"	"low"	817
"b25063"	"b25063_020"	"795"	"medium"	667
"b25063"	"b25063_020"	"860"	"high"	36
"b25063"	"b25063_020"	"860"	"low"	4159
"b25063"	"b25063_020"	"860"	"medium"	913
"b25063"	"b25063_021"	"010"	"high"	1
"b25063"	"b25063_021"	"020"	"high"	4
"b25063"	"b25063_021"	"030"	"high"	8
"b25063"	"b25063_021"	"040"	"high"	36
"b25063"	"b25063_021"	"040"	"low"	3
"b25063"	"b25063_021"	"040"	"medium"	9
"b25063"	"b25063_021"	"050"	"high"	82
"b25063"	"b25063_021"	"050"	"low"	569
"b25063"	"b25063_021"	"050"	"medium"	216
