"variable"	"sig_dif"	"sig_dif_count"	"percent"
"b02001_001"	False	312171	76.9
"b02001_001"	True	93616	23.1
"b02001_002"	False	321330	79.2
"b02001_002"	True	84457	20.8
"b02001_003"	False	361773	89.2
"b02001_003"	True	44014	10.8
"b02001_004"	False	392199	96.7
"b02001_004"	True	13588	3.3
"b02001_005"	False	371004	91.4
"b02001_005"	True	34783	8.6
"b02001_006"	False	402355	99.2
"b02001_006"	True	3432	0.8
"b02001_007"	False	369751	91.1
"b02001_007"	True	36036	8.9
"b02001_008"	False	360560	88.9
"b02001_008"	True	45227	11.1
"b02001_009"	False	396801	97.8
"b02001_009"	True	8986	2.2
"b02001_010"	False	363896	89.7
"b02001_010"	True	41891	10.3
"b03002_001"	False	312171	76.9
"b03002_001"	True	93616	23.1
"b03002_002"	False	320768	79.0
"b03002_002"	True	85017	21.0
"b03002_002"	nan	2	0.0
"b03002_003"	False	326644	80.5
"b03002_003"	True	79143	19.5
"b03002_004"	False	363288	89.5
"b03002_004"	True	42499	10.5
"b03002_005"	False	393594	97.0
"b03002_005"	True	12193	3.0
"b03002_006"	False	371365	91.5
"b03002_006"	True	34422	8.5
"b03002_007"	False	402529	99.2
"b03002_007"	True	3258	0.8
"b03002_008"	False	402051	99.1
"b03002_008"	True	3736	0.9
"b03002_009"	False	367685	90.6
"b03002_009"	True	38102	9.4
"b03002_010"	False	404015	99.6
"b03002_010"	True	1772	0.4
"b03002_011"	False	368494	90.8
"b03002_011"	True	37293	9.2
"b03002_012"	False	343901	84.7
"b03002_012"	True	61875	15.2
"b03002_012"	nan	11	0.0
"b03002_013"	False	350149	86.3
"b03002_013"	True	55638	13.7
"b03002_014"	False	399527	98.5
"b03002_014"	True	6260	1.5
"b03002_015"	False	402657	99.2
"b03002_015"	True	3130	0.8
"b03002_016"	False	404655	99.7
"b03002_016"	True	1132	0.3
"b03002_017"	False	405395	99.9
"b03002_017"	True	392	0.1
"b03002_018"	False	371345	91.5
"b03002_018"	True	34442	8.5
"b03002_019"	False	389927	96.1
"b03002_019"	True	15860	3.9
"b03002_020"	False	398115	98.1
"b03002_020"	True	7672	1.9
"b03002_021"	False	396579	97.7
"b03002_021"	True	9208	2.3
"b05002_001"	False	129016	69.8
"b05002_001"	True	55882	30.2
"b05002_002"	False	136887	74.0
"b05002_002"	True	48011	26.0
"b05002_003"	False	146837	79.4
"b05002_003"	True	38061	20.6
"b05002_004"	False	150847	81.6
"b05002_004"	True	34051	18.4
"b05002_005"	False	162228	87.7
"b05002_005"	True	22670	12.3
"b05002_006"	False	159319	86.2
"b05002_006"	True	25579	13.8
"b05002_007"	False	158418	85.7
"b05002_007"	True	26480	14.3
"b05002_008"	False	160883	87.0
"b05002_008"	True	24015	13.0
"b05002_009"	False	168160	90.9
"b05002_009"	True	16738	9.1
"b05002_010"	False	179031	96.8
"b05002_010"	True	5867	3.2
"b05002_011"	False	183648	99.3
"b05002_011"	True	1250	0.7
"b05002_012"	False	170658	92.3
"b05002_012"	True	14240	7.7
"b05002_013"	False	157647	85.3
"b05002_013"	True	27251	14.7
"b05002_014"	False	159951	86.5
"b05002_014"	True	24947	13.5
"b05002_021"	False	162942	88.1
"b05002_021"	True	21956	11.9
"b07204_001"	False	129607	70.1
"b07204_001"	True	52930	28.6
"b07204_001"	nan	2361	1.3
"b07204_002"	False	138281	74.8
"b07204_002"	True	44256	23.9
"b07204_002"	nan	2361	1.3
"b07204_003"	False	149706	81.0
"b07204_003"	True	32831	17.8
"b07204_003"	nan	2361	1.3
"b07204_004"	False	161872	87.5
"b07204_004"	True	20665	11.2
"b07204_004"	nan	2361	1.3
"b07204_005"	False	161930	87.6
"b07204_005"	True	20607	11.1
"b07204_005"	nan	2361	1.3
"b07204_006"	False	181910	98.4
"b07204_006"	True	627	0.3
"b07204_006"	nan	2361	1.3
"b07204_007"	False	152780	82.6
"b07204_007"	True	29757	16.1
"b07204_007"	nan	2361	1.3
"b07204_008"	False	159403	86.2
"b07204_008"	True	23134	12.5
"b07204_008"	nan	2361	1.3
"b07204_009"	False	156299	84.5
"b07204_009"	True	26238	14.2
"b07204_009"	nan	2361	1.3
"b07204_010"	False	160461	86.8
"b07204_010"	True	22076	11.9
"b07204_010"	nan	2361	1.3
"b07204_011"	False	163776	88.6
"b07204_011"	True	18761	10.1
"b07204_011"	nan	2361	1.3
"b07204_012"	False	177371	95.9
"b07204_012"	True	5166	2.8
"b07204_012"	nan	2361	1.3
"b07204_013"	False	175817	95.1
"b07204_013"	True	6720	3.6
"b07204_013"	nan	2361	1.3
"b07204_014"	False	172356	93.2
"b07204_014"	True	10181	5.5
"b07204_014"	nan	2361	1.3
"b07204_015"	False	175666	95.0
"b07204_015"	True	6871	3.7
"b07204_015"	nan	2361	1.3
"b07204_016"	False	174955	94.6
"b07204_016"	True	7582	4.1
"b07204_016"	nan	2361	1.3
"b07204_017"	False	181956	98.4
"b07204_017"	True	581	0.3
"b07204_017"	nan	2361	1.3
"b07204_018"	False	182445	98.7
"b07204_018"	True	92	0.0
"b07204_018"	nan	2361	1.3
"b07204_019"	False	175186	94.7
"b07204_019"	True	7351	4.0
"b07204_019"	nan	2361	1.3
"b08006_001"	False	138218	74.8
"b08006_001"	True	46680	25.2
"b08006_002"	False	141829	76.7
"b08006_002"	True	43069	23.3
"b08006_003"	False	142136	76.9
"b08006_003"	True	42762	23.1
"b08006_004"	False	155973	84.4
"b08006_004"	True	28925	15.6
"b08006_005"	False	157508	85.2
"b08006_005"	True	27390	14.8
"b08006_006"	False	171196	92.6
"b08006_006"	True	13702	7.4
"b08006_007"	False	174566	94.4
"b08006_007"	True	10332	5.6
"b08006_008"	False	172990	93.6
"b08006_008"	True	11908	6.4
"b08006_009"	False	175121	94.7
"b08006_009"	True	9777	5.3
"b08006_010"	False	173862	94.0
"b08006_010"	True	11036	6.0
"b08006_011"	False	170735	92.3
"b08006_011"	True	14163	7.7
"b08006_012"	False	174386	94.3
"b08006_012"	True	10512	5.7
"b08006_013"	False	184380	99.7
"b08006_013"	True	518	0.3
"b08006_014"	False	180116	97.4
"b08006_014"	True	4782	2.6
"b08006_015"	False	167321	90.5
"b08006_015"	True	17577	9.5
"b08006_016"	False	169636	91.7
"b08006_016"	True	15262	8.3
"b08006_017"	False	153655	83.1
"b08006_017"	True	31243	16.9
"b11001_001"	False	325572	80.2
"b11001_001"	True	80215	19.8
"b11001_002"	False	335991	82.8
"b11001_002"	True	69796	17.2
"b11001_003"	False	340370	83.9
"b11001_003"	True	65417	16.1
"b11001_004"	False	350759	86.4
"b11001_004"	True	55028	13.6
"b11001_005"	False	366654	90.4
"b11001_005"	True	39133	9.6
"b11001_006"	False	354214	87.3
"b11001_006"	True	51573	12.7
"b11001_007"	False	343459	84.6
"b11001_007"	True	62328	15.4
"b11001_008"	False	347011	85.5
"b11001_008"	True	58776	14.5
"b11001_009"	False	363239	89.5
"b11001_009"	True	42548	10.5
"b13002_001"	False	145268	78.6
"b13002_001"	True	36877	19.9
"b13002_001"	nan	2753	1.5
"b13002_002"	False	162118	87.7
"b13002_002"	True	20027	10.8
"b13002_002"	nan	2753	1.5
"b13002_003"	False	165976	89.8
"b13002_003"	True	16169	8.7
"b13002_003"	nan	2753	1.5
"b13002_004"	False	181759	98.3
"b13002_004"	True	386	0.2
"b13002_004"	nan	2753	1.5
"b13002_005"	False	168659	91.2
"b13002_005"	True	13486	7.3
"b13002_005"	nan	2753	1.5
"b13002_006"	False	176329	95.4
"b13002_006"	True	5816	3.1
"b13002_006"	nan	2753	1.5
"b13002_007"	False	172076	93.1
"b13002_007"	True	10069	5.4
"b13002_007"	nan	2753	1.5
"b13002_008"	False	179669	97.2
"b13002_008"	True	2476	1.3
"b13002_008"	nan	2753	1.5
"b13002_009"	False	174125	94.2
"b13002_009"	True	8020	4.3
"b13002_009"	nan	2753	1.5
"b13002_010"	False	180683	97.7
"b13002_010"	True	1462	0.8
"b13002_010"	nan	2753	1.5
"b13002_011"	False	146468	79.2
"b13002_011"	True	35677	19.3
"b13002_011"	nan	2753	1.5
"b13002_012"	False	148507	80.3
"b13002_012"	True	33638	18.2
"b13002_012"	nan	2753	1.5
"b13002_013"	False	180977	97.9
"b13002_013"	True	1168	0.6
"b13002_013"	nan	2753	1.5
"b13002_014"	False	157159	85.0
"b13002_014"	True	24986	13.5
"b13002_014"	nan	2753	1.5
"b13002_015"	False	150268	81.3
"b13002_015"	True	31877	17.2
"b13002_015"	nan	2753	1.5
"b13002_016"	False	153636	83.1
"b13002_016"	True	28509	15.4
"b13002_016"	nan	2753	1.5
"b13002_017"	False	156074	84.4
"b13002_017"	True	26071	14.1
"b13002_017"	nan	2753	1.5
"b13002_018"	False	155093	83.9
"b13002_018"	True	27052	14.6
"b13002_018"	nan	2753	1.5
"b13002_019"	False	159159	86.1
"b13002_019"	True	22986	12.4
"b13002_019"	nan	2753	1.5
"b14001_001"	False	133542	72.2
"b14001_001"	True	51356	27.8
"b14001_002"	False	147115	79.6
"b14001_002"	True	37783	20.4
"b14001_003"	False	162822	88.1
"b14001_003"	True	22076	11.9
"b14001_004"	False	163224	88.3
"b14001_004"	True	21674	11.7
"b14001_005"	False	156565	84.7
"b14001_005"	True	28333	15.3
"b14001_006"	False	156373	84.6
"b14001_006"	True	28525	15.4
"b14001_007"	False	155907	84.3
"b14001_007"	True	28991	15.7
"b14001_008"	False	154517	83.6
"b14001_008"	True	30381	16.4
"b14001_009"	False	168540	91.2
"b14001_009"	True	16358	8.8
"b14001_010"	False	136142	73.6
"b14001_010"	True	48756	26.4
"b15002_001"	False	319077	78.6
"b15002_001"	True	86710	21.4
"b15002_002"	False	329089	81.1
"b15002_002"	True	76698	18.9
"b15002_003"	False	392383	96.7
"b15002_003"	True	13404	3.3
"b15002_004"	False	398184	98.1
"b15002_004"	True	7603	1.9
"b15002_005"	False	393281	96.9
"b15002_005"	True	12506	3.1
"b15002_006"	False	385568	95.0
"b15002_006"	True	20219	5.0
"b15002_007"	False	389845	96.1
"b15002_007"	True	15942	3.9
"b15002_008"	False	386294	95.2
"b15002_008"	True	19493	4.8
"b15002_009"	False	384602	94.8
"b15002_009"	True	21185	5.2
"b15002_010"	False	386879	95.3
"b15002_010"	True	18908	4.7
"b15002_011"	False	348918	86.0
"b15002_011"	True	56869	14.0
"b15002_012"	False	366091	90.2
"b15002_012"	True	39696	9.8
"b15002_013"	False	354637	87.4
"b15002_013"	True	51150	12.6
"b15002_014"	False	360614	88.9
"b15002_014"	True	45173	11.1
"b15002_015"	False	349828	86.2
"b15002_015"	True	55959	13.8
"b15002_016"	False	366310	90.3
"b15002_016"	True	39477	9.7
"b15002_017"	False	388445	95.7
"b15002_017"	True	17342	4.3
"b15002_018"	False	392398	96.7
"b15002_018"	True	13389	3.3
"b15002_019"	False	328201	80.9
"b15002_019"	True	77586	19.1
"b15002_020"	False	391687	96.5
"b15002_020"	True	14100	3.5
"b15002_021"	False	398060	98.1
"b15002_021"	True	7727	1.9
"b15002_022"	False	393218	96.9
"b15002_022"	True	12569	3.1
"b15002_023"	False	384957	94.9
"b15002_023"	True	20830	5.1
"b15002_024"	False	389989	96.1
"b15002_024"	True	15798	3.9
"b15002_025"	False	385354	95.0
"b15002_025"	True	20433	5.0
"b15002_026"	False	383733	94.6
"b15002_026"	True	22054	5.4
"b15002_027"	False	388157	95.7
"b15002_027"	True	17630	4.3
"b15002_028"	False	348465	85.9
"b15002_028"	True	57322	14.1
"b15002_029"	False	363729	89.6
"b15002_029"	True	42058	10.4
"b15002_030"	False	352649	86.9
"b15002_030"	True	53138	13.1
"b15002_031"	False	355369	87.6
"b15002_031"	True	50418	12.4
"b15002_032"	False	344258	84.8
"b15002_032"	True	61529	15.2
"b15002_033"	False	355826	87.7
"b15002_033"	True	49961	12.3
"b15002_034"	False	389750	96.0
"b15002_034"	True	16037	4.0
"b15002_035"	False	393964	97.1
"b15002_035"	True	11823	2.9
"b19001_001"	False	325572	80.2
"b19001_001"	True	80215	19.8
"b19001_002"	False	356971	88.0
"b19001_002"	True	48816	12.0
"b19001_003"	False	362354	89.3
"b19001_003"	True	43433	10.7
"b19001_004"	False	361529	89.1
"b19001_004"	True	44258	10.9
"b19001_005"	False	362904	89.4
"b19001_005"	True	42883	10.6
"b19001_006"	False	363815	89.7
"b19001_006"	True	41972	10.3
"b19001_007"	False	365018	90.0
"b19001_007"	True	40769	10.0
"b19001_008"	False	366468	90.3
"b19001_008"	True	39319	9.7
"b19001_009"	False	366290	90.3
"b19001_009"	True	39497	9.7
"b19001_010"	False	369264	91.0
"b19001_010"	True	36523	9.0
"b19001_011"	False	358312	88.3
"b19001_011"	True	47475	11.7
"b19001_012"	False	354213	87.3
"b19001_012"	True	51574	12.7
"b19001_013"	False	347446	85.6
"b19001_013"	True	58341	14.4
"b19001_014"	False	347057	85.5
"b19001_014"	True	58730	14.5
"b19001_015"	False	354366	87.3
"b19001_015"	True	51421	12.7
"b19001_016"	False	346458	85.4
"b19001_016"	True	59329	14.6
"b19001_017"	False	340081	83.8
"b19001_017"	True	65706	16.2
"b19013_001"	False	323360	79.7
"b19013_001"	True	64315	15.8
"b19013_001"	nan	18112	4.5
"b19083_001"	False	150094	81.2
"b19083_001"	True	30812	16.7
"b19083_001"	nan	3992	2.2
"b23025_001"	False	319222	78.7
"b23025_001"	True	86565	21.3
"b23025_002"	False	328541	81.0
"b23025_002"	True	77246	19.0
"b23025_003"	False	328733	81.0
"b23025_003"	True	77054	19.0
"b23025_004"	False	321620	79.3
"b23025_004"	True	84167	20.7
"b23025_005"	False	305053	75.2
"b23025_005"	True	100734	24.8
"b23025_006"	False	401498	98.9
"b23025_006"	True	4289	1.1
"b23025_007"	False	334838	82.5
"b23025_007"	True	70949	17.5
"b25002_001"	False	321605	79.3
"b25002_001"	True	84182	20.7
"b25002_002"	False	325572	80.2
"b25002_002"	True	80215	19.8
"b25002_003"	False	347771	85.7
"b25002_003"	True	58016	14.3
"b25003_001"	False	325572	80.2
"b25003_001"	True	80215	19.8
"b25003_002"	False	337528	83.2
"b25003_002"	True	68259	16.8
"b25003_003"	False	339042	83.6
"b25003_003"	True	66745	16.4
"b25010_001"	False	336528	82.9
"b25010_001"	True	64586	15.9
"b25010_001"	nan	4673	1.2
"b25010_002"	False	332498	81.9
"b25010_002"	True	61620	15.2
"b25010_002"	nan	11669	2.9
"b25010_003"	False	303526	74.8
"b25010_003"	True	69745	17.2
"b25010_003"	nan	32516	8.0
"b25063_001"	False	339042	83.6
"b25063_001"	True	66745	16.4
"b25063_002"	False	340319	83.9
"b25063_002"	True	65468	16.1
"b25063_003"	False	403572	99.5
"b25063_003"	True	2215	0.5
"b25063_004"	False	403823	99.5
"b25063_004"	True	1964	0.5
"b25063_005"	False	400865	98.8
"b25063_005"	True	4922	1.2
"b25063_006"	False	397274	97.9
"b25063_006"	True	8513	2.1
"b25063_007"	False	398248	98.1
"b25063_007"	True	7539	1.9
"b25063_008"	False	398442	98.2
"b25063_008"	True	7345	1.8
"b25063_009"	False	397525	98.0
"b25063_009"	True	8262	2.0
"b25063_010"	False	395154	97.4
"b25063_010"	True	10633	2.6
"b25063_011"	False	393143	96.9
"b25063_011"	True	12644	3.1
"b25063_012"	False	389179	95.9
"b25063_012"	True	16608	4.1
"b25063_013"	False	387936	95.6
"b25063_013"	True	17851	4.4
"b25063_014"	False	386794	95.3
"b25063_014"	True	18993	4.7
"b25063_015"	False	384990	94.9
"b25063_015"	True	20797	5.1
"b25063_016"	False	384014	94.6
"b25063_016"	True	21773	5.4
"b25063_017"	False	384338	94.7
"b25063_017"	True	21449	5.3
"b25063_018"	False	369803	91.1
"b25063_018"	True	35984	8.9
"b25063_019"	False	370826	91.4
"b25063_019"	True	34961	8.6
"b25063_020"	False	353866	87.2
"b25063_020"	True	51921	12.8
"b25063_021"	False	365838	90.2
"b25063_021"	True	39949	9.8
"b25063_022"	False	363056	89.5
"b25063_022"	True	42731	10.5
"b25063_023"	False	379259	93.5
"b25063_023"	True	26528	6.5
"b25063_024"	False	382669	94.3
"b25063_024"	True	23118	5.7
"b25064_001"	False	245346	60.5
"b25064_001"	True	67998	16.8
"b25064_001"	nan	92443	22.8
"b25070_001"	False	339042	83.6
"b25070_001"	True	66745	16.4
"b25070_002"	False	390274	96.2
"b25070_002"	True	15513	3.8
"b25070_003"	False	377890	93.1
"b25070_003"	True	27897	6.9
"b25070_004"	False	373754	92.1
"b25070_004"	True	32033	7.9
"b25070_005"	False	374349	92.3
"b25070_005"	True	31438	7.7
"b25070_006"	False	377449	93.0
"b25070_006"	True	28338	7.0
"b25070_007"	False	381695	94.1
"b25070_007"	True	24092	5.9
"b25070_008"	False	386952	95.4
"b25070_008"	True	18835	4.6
"b25070_009"	False	381916	94.1
"b25070_009"	True	23871	5.9
"b25070_010"	False	363665	89.6
"b25070_010"	True	42122	10.4
"b25070_011"	False	377262	93.0
"b25070_011"	True	28525	7.0
"b25077_001"	False	253855	62.6
"b25077_001"	True	122125	30.1
"b25077_001"	nan	29807	7.3
"b26001_001"	False	179534	97.1
"b26001_001"	True	5364	2.9
"c17002_001"	False	316595	78.0
"c17002_001"	True	89192	22.0
"c17002_002"	False	355866	87.7
"c17002_002"	True	49921	12.3
"c17002_003"	False	353013	87.0
"c17002_003"	True	52774	13.0
"c17002_004"	False	365167	90.0
"c17002_004"	True	40620	10.0
"c17002_005"	False	363184	89.5
"c17002_005"	True	42603	10.5
"c17002_006"	False	357986	88.2
"c17002_006"	True	47801	11.8
"c17002_007"	False	374691	92.3
"c17002_007"	True	31096	7.7
"c17002_008"	False	319427	78.7
"c17002_008"	True	86360	21.3
"c24030_001"	False	321620	79.3
"c24030_001"	True	84167	20.7
"c24030_002"	False	329949	81.3
"c24030_002"	True	75838	18.7
"c24030_003"	False	386739	95.3
"c24030_003"	True	19048	4.7
"c24030_006"	False	359707	88.6
"c24030_006"	True	46080	11.4
"c24030_007"	False	359676	88.6
"c24030_007"	True	46111	11.4
"c24030_008"	False	382914	94.4
"c24030_008"	True	22873	5.6
"c24030_009"	False	361791	89.2
"c24030_009"	True	43996	10.8
"c24030_010"	False	366199	90.2
"c24030_010"	True	39588	9.8
"c24030_013"	False	391418	96.5
"c24030_013"	True	14369	3.5
"c24030_014"	False	378143	93.2
"c24030_014"	True	27644	6.8
"c24030_017"	False	360822	88.9
"c24030_017"	True	44965	11.1
"c24030_021"	False	363127	89.5
"c24030_021"	True	42660	10.5
"c24030_024"	False	367001	90.4
"c24030_024"	True	38786	9.6
"c24030_027"	False	378544	93.3
"c24030_027"	True	27243	6.7
"c24030_028"	False	378138	93.2
"c24030_028"	True	27649	6.8
"c24030_029"	False	332747	82.0
"c24030_029"	True	73040	18.0
"c24030_030"	False	400078	98.6
"c24030_030"	True	5709	1.4
"c24030_033"	False	396701	97.8
"c24030_033"	True	9086	2.2
"c24030_034"	False	374112	92.2
"c24030_034"	True	31675	7.8
"c24030_035"	False	395767	97.5
"c24030_035"	True	10020	2.5
"c24030_036"	False	361674	89.1
"c24030_036"	True	44113	10.9
"c24030_037"	False	388058	95.6
"c24030_037"	True	17729	4.4
"c24030_040"	False	395063	97.4
"c24030_040"	True	10724	2.6
"c24030_041"	False	371874	91.6
"c24030_041"	True	33913	8.4
"c24030_044"	False	364363	89.8
"c24030_044"	True	41424	10.2
"c24030_048"	False	346938	85.5
"c24030_048"	True	58849	14.5
"c24030_051"	False	362646	89.4
"c24030_051"	True	43141	10.6
"c24030_054"	False	375865	92.6
"c24030_054"	True	29922	7.4
"c24030_055"	False	381097	93.9
"c24030_055"	True	24690	6.1
