"variable"	"sig_dif"	"sig_dif_count"	"percent"
"c24030_036"	True	44113	10.9
"b19001_004"	True	44258	10.9
"c24030_009"	True	43996	10.8
"b13002_002"	True	20027	10.8
"b02001_003"	True	44014	10.8
"b01001_019"	True	43329	10.7
"b19001_003"	True	43433	10.7
"c24030_051"	True	43141	10.6
"b19001_005"	True	42883	10.6
"b01001_047"	True	42429	10.5
"c24030_021"	True	42660	10.5
"b25063_022"	True	42731	10.5
"b03002_004"	True	42499	10.5
"c17002_005"	True	42603	10.5
"b11001_009"	True	42548	10.5
"b25070_010"	True	42122	10.4
"b15002_029"	True	42058	10.4
"b02001_010"	True	41891	10.3
"b19001_006"	True	41972	10.3
"c24030_044"	True	41424	10.2
"b07204_011"	True	18761	10.1
"b19001_007"	True	40769	10.0
"c17002_004"	True	40620	10.0
"b01001_034"	True	40130	9.9
"b25063_021"	True	39949	9.8
"c24030_010"	True	39588	9.8
"b01001_010"	True	39670	9.8
"b15002_012"	True	39696	9.8
"b15002_016"	True	39477	9.7
"b01001_023"	True	39540	9.7
"b19001_008"	True	39319	9.7
"b19001_009"	True	39497	9.7
"c24030_024"	True	38786	9.6
"b11001_005"	True	39133	9.6
"b08006_015"	True	17577	9.5
"b03002_009"	True	38102	9.4
"b01001_042"	True	37920	9.3
"b03002_011"	True	37293	9.2
"b05002_009"	True	16738	9.1
"b01001_044"	True	37112	9.1
"b19001_010"	True	36523	9.0
"b02001_007"	True	36036	8.9
"b25063_018"	True	35984	8.9
"b01001_018"	True	36178	8.9
"b14001_009"	True	16358	8.8
"b13002_003"	True	16169	8.7
"b01001_007"	True	34744	8.6
"b02001_005"	True	34783	8.6
"b25063_019"	True	34961	8.6
"b03002_018"	True	34442	8.5
"b01001_020"	True	34580	8.5
"b03002_006"	True	34422	8.5
"c24030_041"	True	33913	8.4
"b08006_016"	True	15262	8.3
"b25070_004"	True	32033	7.9
"b01001_031"	True	32057	7.9
"b01001_048"	True	31680	7.8
"c24030_034"	True	31675	7.8
"b25070_005"	True	31438	7.7
"b05002_012"	True	14240	7.7
"b08006_011"	True	14163	7.7
"c17002_007"	True	31096	7.7
"c24030_054"	True	29922	7.4
"b08006_006"	True	13702	7.4
"b13002_005"	True	13486	7.3
"b25070_011"	True	28525	7.0
"b25070_006"	True	28338	7.0
"b25070_003"	True	27897	6.9
"c24030_014"	True	27644	6.8
"c24030_028"	True	27649	6.8
"b01001_024"	True	27121	6.7
"c24030_027"	True	27243	6.7
"b01001_049"	True	27065	6.7
"b25063_023"	True	26528	6.5
"b08006_008"	True	11908	6.4
"c24030_055"	True	24690	6.1
"b08006_010"	True	11036	6.0
"b25070_007"	True	24092	5.9
"b25070_009"	True	23871	5.9
"b25063_024"	True	23118	5.7
"b08006_012"	True	10512	5.7
"b08006_007"	True	10332	5.6
"c24030_008"	True	22873	5.6
"b07204_014"	True	10181	5.5
"b13002_007"	True	10069	5.4
"b25063_016"	True	21773	5.4
"b15002_026"	True	22054	5.4
"b25063_017"	True	21449	5.3
"b08006_009"	True	9777	5.3
"b15002_009"	True	21185	5.2
"b01001_025"	True	20991	5.2
"b15002_023"	True	20830	5.1
"b25063_015"	True	20797	5.1
"b15002_006"	True	20219	5.0
"b15002_025"	True	20433	5.0
"b15002_008"	True	19493	4.8
"b15002_010"	True	18908	4.7
"b25063_014"	True	18993	4.7
"c24030_003"	True	19048	4.7
