GEOID	NAME	NAMELSAD	LSAD
31000US22180	Fayetteville, NC	Fayetteville, NC Metro Area	M1
31000US15820	Campbellsville, KY	Campbellsville, KY Micro Area	M2
31000US16060	Carbondale-Marion, IL	Carbondale-Marion, IL Metro Area	M1
31000US16140	Carroll, IA	Carroll, IA Micro Area	M2
31000US16420	Central City, KY	Central City, KY Micro Area	M2
31000US16580	Champaign-Urbana, IL	Champaign-Urbana, IL Metro Area	M1
31000US16620	Charleston, WV	Charleston, WV Metro Area	M1
31000US16740	Charlotte-Concord-Gastonia, NC-SC	Charlotte-Concord-Gastonia, NC-SC Metro Area	M1
31000US16820	Charlottesville, VA	Charlottesville, VA Metro Area	M1
31000US10500	Albany, GA	Albany, GA Metro Area	M1
31000US10760	Alexander City, AL	Alexander City, AL Micro Area	M2
31000US10860	Alice, TX	Alice, TX Micro Area	M2
